min,"0,012"
max,"0,043"
étendue,"0,032"
moyenne,"0,031"
,
Temps en s,conso CPU en s/s
0,"0,035"
10,"0,035"
20,"0,035"
30,"0,036"
40,"0,036"
50,"0,037"
60,"0,037"
70,"0,038"
80,"0,038"
90,"0,036"
100,"0,032"
110,"0,027"
120,"0,023"
130,"0,018"
140,"0,013"
150,"0,013"
160,"0,019"
170,"0,024"
180,"0,030"
190,"0,035"
200,"0,041"
210,"0,043"
220,"0,042"
230,"0,040"
240,"0,039"
250,"0,037"
260,"0,036"
270,"0,033"
280,"0,029"
290,"0,025"
300,"0,021"
310,"0,017"
320,"0,013"
330,"0,013"
340,"0,017"
350,"0,022"
360,"0,027"
370,"0,031"
380,"0,036"
390,"0,038"
400,"0,037"
410,"0,036"
420,"0,034"
430,"0,033"
440,"0,032"
450,"0,031"
460,"0,032"
470,"0,033"
480,"0,034"
490,"0,034"
500,"0,035"
510,"0,036"
520,"0,036"
530,"0,036"
540,"0,036"
550,"0,036"
560,"0,036"
570,"0,036"
580,"0,036"
590,"0,035"
600,"0,035"
610,"0,035"
620,"0,035"
630,"0,035"
640,"0,035"
650,"0,034"
660,"0,034"
670,"0,034"
680,"0,034"
690,"0,032"
700,"0,028"
710,"0,024"
720,"0,020"
730,"0,016"
740,"0,012"
750,"0,012"
760,"0,017"
770,"0,022"
780,"0,027"
790,"0,032"
800,"0,037"
810,"0,039"
820,"0,038"
830,"0,037"
840,"0,036"
850,"0,035"
860,"0,034"
870,"0,034"
880,"0,034"
890,"0,034"
900,"0,034"
910,"0,035"
920,"0,035"
930,"0,035"
940,"0,034"
950,"0,034"

